"PDDA_MESSAGE_TYPE_ID","PDDA_MESSAGE_TYPE","PDDA_MESSAGE_DESCRIPTION","OBS_IND","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION"
1,"PublicDisplay","28-11-2023 15:26:06","N",28-NOV-2023 15:26:06,28-NOV-2023 15:26:06,"XHIBIT","XHIBIT",1
2,"DailyList","28-11-2023 15:26:06","N",28-NOV-2023 15:26:06,28-NOV-2023 15:26:06,"XHIBIT","XHIBIT",1
3,"WebPage","28-11-2023 15:26:06","N",28-NOV-2023 15:26:06,28-NOV-2023 15:26:06,"XHIBIT","XHIBIT",1
4,"MoveCase","28-11-2023 15:26:06","N",28-NOV-2023 15:26:06,28-NOV-2023 15:26:06,"XHIBIT","XHIBIT",1
5,"AddCase","28-11-2023 15:26:06","N",28-NOV-2023 15:26:06,28-NOV-2023 15:26:06,"XHIBIT","XHIBIT",1
6,"ConfigurationChange","28-11-2023 15:26:06","N",28-NOV-2023 15:26:06,28-NOV-2023 15:26:06,"XHIBIT","XHIBIT",1
7,"HearingStatus","28-11-2023 15:26:06","N",28-NOV-2023 15:26:06,28-NOV-2023 15:26:06,"XHIBIT","XHIBIT",1
8,"PublicNotice","28-11-2023 15:26:06","N",28-NOV-2023 15:26:06,28-NOV-2023 15:26:06,"XHIBIT","XHIBIT",1
9,"UpdateCase","28-11-2023 15:26:06","N",28-NOV-2023 15:26:06,28-NOV-2023 15:26:06,"XHIBIT","XHIBIT",1
