"COURT_ID","COURT_TYPE","CIRCUIT","COURT_NAME","CREST_COURT_ID","COURT_PREFIX","SHORT_NAME","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","ADDRESS_ID","CREST_IP_ADDRESS","IN_SERVICE_FLAG","OBS_IND","PROBATION_OFFICE_NAME","INTERNET_COURT_NAME","DISPLAY_NAME","COURT_CODE","COUNTRY","LANGUAGE","POLICE_FORCE_CODE","FL_REP_SORT","COURT_START_TIME","WL_REP_SORT","WL_REP_PERIOD","WL_REP_TIME","WL_FREE_TEXT","IS_PILOT","DX_REF","COUNTY_LOC_CODE","TIER","CPP_COURT"
2,"CROWN","LONDON","DOCKFORD TRAINING","499","CROWN COURT","499",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",4,2,"csa00200:90","Y","Y","DOCKFORD PROBATION OFFICE","DOCKFORD CROWN COURT","DOCKFORD CROWN COURT","01AB","","",,"C","","C",,"","","N","","","",""
3,"CROWN","LONDON","ISLEWORTH_MOVED","000","CROWN COURT","475_MOVED_20050729073447",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",4,3,"10.25.5.20:90","Y","Y","ISLEWORTH PROBATION OFFICE","ISLEWORTH CROWN COURT","ISLEWORTH CROWN COURT","01AC","","",,"C","","C",,"","","N","","","",""
22,"COMBINED","North Eastern","SHEFFIELD","451","CROWN COURT","SHEFF",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","scb58d",3,115423,"CSA20451:90","Y","N","SHEFFIELD PROBATION OFFICE","Sheffield","SHEFFIELD CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
29,"CROWN","North Eastern","YORK","467","CROWN COURT","YORK",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,154401,"CSA20467:90","Y","N","YORK PROBATION OFFICE","York","YORK CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
28,"CROWN","South Eastern","IPSWICH","426","CROWN COURT","IPSWI",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,143341,"CSA20426:90","Y","N","IPSWICH PROBATION OFFICE","Ipswich","IPSWICH CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
30,"COMBINED","North Eastern","BRADFORD","402","CROWN COURT","BRADF",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,154402,"CSA20402:90","Y","N","BRADFORD PROBATION OFFICE","Bradford","BRADFORD CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
63,"COMBINED","Western","BOURNEMOUTH","406","CROWN COURT","BOURN",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,368269,"CSA20406:90","Y","N","BOURNEMOUTH PROBATION OFFICE","Bournemouth","BOURNEMOUTH CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
64,"COMBINED","South Eastern","LEWES","431","CROWN COURT","LEWES",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,368270,"CSA20431:90","Y","N","LEWES PROBATION OFFICE","Lewes","LEWES CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
37,"CROWN","Northern","LIVERPOOL","433","CROWN COURT","LIVER",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,193107,"CSA20433:90","Y","N","LIVERPOOL PROBATION OFFICE","Liverpool","LIVERPOOL CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
31,"COMBINED","North Eastern","LEEDS","429","CROWN COURT","LEEDS",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,163191,"CSA20429:90","Y","N","LEEDS PROBATION OFFICE","Leeds","LEEDS CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
34,"CROWN","Midlands","SHREWSBURY","452","CROWN COURT","SHREW",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,170713,"CSA20452:90","Y","N","SHREWSBURY PROBATION OFFICE","Shrewsbury","SHREWSBURY CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
42,"CROWN","South Eastern","GUILDFORD","474","CROWN COURT","GUILD",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,225133,"CSA20474:90","Y","N","GUILDFORD PROBATION OFFICE","Guildford","GUILDFORD CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
35,"COMBINED","Midlands","WARWICK","463","CROWN COURT","WARWI",06-JAN-20 16:06:27,01-APR-09 16:25:29,"XHIBIT","XHIBIT",4,183581,"CSA20463:90","Y","N","WARWICK PROBATION OFFICE","Warwick","WARWICK CROWN COURT","25XH","","",,"C","","C",,"","","N","","","","N"
48,"CROWN","South Eastern","KINGSTON -U- THAMES_MOVED","000","CROWN COURT","KITHM_MOVED_20050905202837",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",4,266176,"CSA20427:90","Y","Y","KINGSTON UPON THAMES PROBATION OFFICE","Kingston-upon-Thames","KINGSTON UPON THAMES CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
76,"CROWN","South Eastern","READING","449","CROWN COURT","READI",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,459029,"CSA20449:90","Y","N","READING PROBATION OFFICE","Reading","READING CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
56,"CROWN","Wales and Chester","SWANSEA_MOVED","000","CROWN COURT","SWANS_MOVED_20080228100637",06-JAN-20 16:06:27,01-APR-09 16:25:29,"XHIBIT","XHIBIT",5,315277,"CSA20457:90","Y","Y","SWANSEA PROBATION OFFICE","Swansea","SWANSEA CROWN COURT","25XH","GB","cy",,"C","","C",,"","","N","","","","N"
74,"COMBINED","Western","SOUTHAMPTON","454","CROWN COURT","STHON",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,444953,"CSA20454:90","Y","N","SOUTHAMPTON PROBATION OFFICE","Southampton","SOUTHAMPTON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
65,"COMBINED","South Eastern","CHICHESTER","416","CROWN COURT","CHICH",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,377587,"CSA20416:90","Y","N","CHICHESTER PROBATION OFFICE","Chichester","CHICHESTER CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
77,"COMBINED","South Eastern","OXFORD","445","CROWN COURT","OXFOR",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","scn37z",3,459030,"CSA20445:90","Y","N","OXFORD CITY  PROBATION OFFICE","Oxford","OXFORD CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
61,"COMBINED","North Eastern","NEWCASTLE","439","CROWN COURT","NEWCA",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,350830,"CSA20439:90","Y","N","NEWCASTLE PROBATION OFFICE","Newcastle-upon-Tyne","NEWCASTLE CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
17,"CROWN","South Eastern","CAMBRIDGE","410","CROWN COURT","CAMBR",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,91541,"CSA20410:90","Y","N","CAMBRIDGE PROBATION OFFICE","Cambridge","CAMBRIDGE CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
32,"COMBINED","Midlands","STOKE ON TRENT","456","CROWN COURT","STOKE",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","kcd08p",3,170711,"CSA20456:90","Y","N","STOKE on TRENT CROWN COURT","Stoke-on-Trent","STOKE ON TRENT CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
33,"COMBINED","Midlands","STAFFORD","455","CROWN COURT","STAFF",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","fcr82y",3,170712,"CSA20455:90","Y","N","STAFFORD  PROBATION DEPARTMENT","Stafford","STAFFORD CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
40,"COMBINED","Western","TRURO","477","CROWN COURT","TRURO",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,209190,"CSA20477:90","Y","N","TRURO PROBATION OFFICE","Truro","TRURO CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
18,"COMBINED","South Eastern","PETERBOROUGH","473","CROWN COURT","PETER",06-JAN-20 16:06:27,01-APR-09 16:25:29,"XHIBIT","XHIBIT",4,91542,"CSA20473:90","Y","N","PETERBOROUGH PROBATION OFFICE","Peterborough","PETERBOROUGH CROWN COURT","25XH","","",,"C","","C",,"","","N","","","","N"
70,"COMBINED","Wales and Chester","WARRINGTON","462","CROWN COURT","WARRI",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,421710,"DISABLED","Y","N","WARRINGTON PROBATION OFFICE","Warrington","WARRINGTON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
36,"COMBINED","Midlands","WORCESTER","466","CROWN COURT","WORCE",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,183582,"CSA20466:90","Y","N","WORCESTER PROBATION OFFICE","Worcester","WORCESTER CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
66,"COMBINED","North Eastern","HULL","403","CROWN COURT","HULL",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,383482,"CSA20403:90","Y","N","HULL PROBATION OFFICE","Kingston-upon-Hull","HULL CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
81,"CROWN","SOUTH EASTERN","SNARESBROOK","453","CROWN COURT","SNARE",06-JAN-20 16:06:27,01-APR-09 16:25:29,"XHIBIT","XHIBIT",21,518973,"10.63.127.47:90","Y","N","SNARESBROOK PROBATION OFFICE","Snaresbrook","SNARESBROOK CROWN COURT","01AA","","",110443,"C","","C",,"","","Y","","","","Y"
24,"CROWN","Midlands","LINCOLN","432","CROWN COURT","LINCO",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,120905,"CSA20432:90","Y","N","LINCOLN PROBATION OFFICE","Lincoln","LINCOLN CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
52,"CROWN","South Eastern","HARROW","468","CROWN COURT","HARRO",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,290310,"CSA20468:90","Y","N","HARROW PROBATION OFFICE","Harrow","HARROW CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
58,"CROWN","Midlands","BIRMINGHAM","404","CROWN COURT","BIRMI",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,330721,"CSA20404:90","Y","N","BIRMINGHAM PROBATION OFFICE","Birmingham","BIRMINGHAM CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
8,"CROWN","South Eastern","LUTON","476","CROWN COURT","LUTON",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","ncc77s",3,49083,"CSA20476:90","Y","N","LUTON PROBATION OFFICE","Luton","LUTON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
9,"CROWN","South Eastern","ST ALBANS","450","CROWN COURT","STALB",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","cca15p",3,49084,"CSA20450:90","Y","N","ST ALBANS PROBATION OFFICE","StAlbans","ST ALBANS CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
49,"CROWN","South Eastern","MIDDLESEX GUILDHALL","464","CROWN COURT","MIDDL",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",4,274046,"CSA20464:90","Y","Y","MIDDLESEX GUILDHALL PROBATION OFFICE","MiddlesexGuildhall","MIDDLESEX GUILDHALL CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
54,"CROWN","South Eastern","INNER LONDON","440","CROWN COURT","INLDN",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,303367,"CSA20440:90","Y","N","INNER LONDON PROBATION OFFICE","InnerLondon","INNER LONDON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
53,"CROWN","South Eastern","BLACKFRIARS","428","CROWN COURT","BLACK",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,290311,"CSA20428:90","Y","N","BLACKFRIARS PROBATION OFFICE","Blackfriars","BLACKFRIARS CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
67,"COMBINED","North Eastern","GREAT GRIMSBY","425","CROWN COURT","GRIMS",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,383483,"CSA20425:90","Y","N","GREAT GRIMSBY PROBATION OFFICE","GreatGrimsby","GREAT GRIMSBY CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
79,"CROWN","Northern","MANCHESTER","435","CROWN COURT","MANCH",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,478777,"CSA20435:90","Y","N","MANCHESTER PROBATION OFFICE","ManchesterCrownSquare","MANCHESTER CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
25,"CROWN","Midlands","NOTTINGHAM","444","CROWN COURT","NOTTI",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,129260,"CSA20444:90","Y","N","NOTTINGHAM PROBATION OFFICE","Nottingham","NOTTINGHAM CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
47,"CROWN","South Eastern","CROYDON","418","CROWN COURT","CROYD",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","jca08y",3,259785,"CSA20418:90","Y","N","CROYDON CROWN PROBATION OFFICE","Croydon","CROYDON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
50,"CROWN","South Eastern","WOOD GREEN","469","CROWN COURT","WOODG",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,274047,"CSA20469:90","Y","N","WOOD GREEN PROBATION OFFICE","WoodGreen","WOOD GREEN CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
78,"CROWN","South Eastern","AYLESBURY","401","CROWN COURT","AYLES",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,459031,"CSA20401:90","Y","N","AYLESBURY PROBATION OFFICE","Aylesbury","AYLESBURY CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
44,"CROWN","South Eastern","SOUTHWARK","471","CROWN COURT","STHWK",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,235688,"CSA20471:90","Y","N","SOUTHWARK PROBATION OFFICE","Southwark","SOUTHWARK CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
39,"COMBINED","Western","PLYMOUTH","446","CROWN COURT","PLYMO",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,209189,"CSA20446:90","Y","N","PLYMOUTH PROBATION OFFICE","Plymouth","PLYMOUTH CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
51,"CROWN","South Eastern","KINGSTON -U- THAMES","427","CROWN COURT","KITHM",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,284796,"CSA20427:90","Y","N","KINGSTON UPON THAMES PROBATION OFFICE","Kingston-upon-Thames","KINGSTON UPON THAMES CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
59,"COMBINED","Midlands","WOLVERHAMPTON","421","CROWN COURT","WOLVE",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,340034,"CSA20421:90","Y","N","WOLVERHAMPTON PROBATION OFFICE","Wolverhampton","WOLVERHAMPTON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
60,"COMBINED","Midlands","COVENTRY","417","CROWN COURT","COVEN",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,340036,"CSA20417:90","Y","N","COVENTRY PROBATION OFFICE","Coventry","COVENTRY CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
5,"CROWN","North Eastern","DURHAM","422","CROWN COURT","DURHA",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","ocy72r",3,41904,"CSA20422:90","Y","N","DURHAM PROBATION OFFICE","Durham","DURHAM CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
12,"CROWN","Western","BRISTOL","408","CROWN COURT","BRIST",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",8,68598,"10.63.127.46:90","Y","N","BRISTOL PROBATION OFFICE","Bristol","BRISTOL CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
10,"COMBINED","South Eastern","BASILDON","461","CROWN COURT","BASIL",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","fcc93k",3,58282,"CSA20461:90","Y","N","BASILDON PROBATION OFFICE","Basildon","BASILDON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
45,"CROWN","South Eastern","CROYDON_MOVED","000","CROWN COURT","CROYD_MOVED_20050818221114",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",4,244765,"CSA20418:90","Y","Y","CROYDON PROBATION OFFICE","Croydon","CROYDON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
46,"CROWN","South Eastern","WOOLWICH","472","CROWN COURT","WOOLW",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,244766,"CSA20472:90","Y","N","WOOLWICH PROBATION OFFICE","Woolwich","WOOLWICH CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
14,"CROWN","Western","GLOUCESTER","424","CROWN COURT","GLOUC",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,73999,"CSA20424:90","Y","N","GLOUCESTER PROBATION OFFICE","Gloucester","GLOUCESTER CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
23,"CROWN","North Eastern","DONCASTER","420","CROWN COURT","DONCA",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,120904,"CSA20420:90","Y","N","DONCASTER PROBATION OFFICE","Doncaster","DONCASTER CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
43,"CROWN","South Eastern","ISLEWORTH","475","CROWN COURT","ISLEW",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,225134,"CSA20475:90","Y","N","ISLEWORTH PROBATION OFFICE","Isleworth","ISLEWORTH CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
16,"COMBINED","Northern","BURNLEY","409","CROWN COURT","BURNL",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","pcb36t",3,87213,"CSA20409:90","Y","N","BURNLEY CROWN COURT","Burnley","BURNLEY CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
57,"COMBINED","Wales and Chester","MERTHYR TYDFIL","437","CROWN COURT","MERTH",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,326118,"CSA20437:90","Y","N","MERTHYR TYDFIL PROBATION OFFICE","MerthyrTydfil","MERTHYR TYDFIL CROWN COURT","25XH","GB","cy",,"C","","C",,"","","N","","","",""
11,"CROWN","South Eastern","CHELMSFORD","414","CROWN COURT","CHELF",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","ocg30q",3,62938,"CSA20414:90","Y","N","CHELMSFORD PROBATION OFFICE","Chelmsford","CHELMSFORD CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
15,"COMBINED","Northern","PRESTON","448","CROWN COURT","PREST",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","hcm71o",3,81398,"CSA20448:90","Y","N","PROBATION DEPARTMENT","Preston","PRESTON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
21,"CROWN","Midlands","LEICESTER","430","CROWN COURT","LEICS",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","ccz28l",3,108964,"CSA20430:90","Y","N","LEICESTER PROBATION OFFICE","Leicester","LEICESTER CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
41,"CROWN","South Eastern","CENTRAL CRIMINAL COURT","413","CROWN COURT","CCCRT",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,217244,"CSA20413:90","Y","N","CENTRAL CRIMINAL COURT PROBATION OFFICE","CentralCriminalCourt","CENTRAL CRIMINAL COURT","25XH","","",,"C","","C",,"","","N","","","",""
62,"COMBINED","Northern","CARLISLE","412","CROWN COURT","CARLI",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,350832,"CSA20412:90","Y","N","CARLISLE PROBATION OFFICE","Carlisle","CARLISLE CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
68,"COMBINED","Western","DORCHESTER","407","CROWN COURT","WEYMO",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,395511,"CSA20407:90","Y","N","DORCHESTER PROBATION OFFICE","Dorchester","DORCHESTER CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
55,"CROWN","Wales and Chester","CARDIFF","411","CROWN COURT","CARDI",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",4,315275,"10.63.125.30:90","Y","N","CARDIFF PROBATION OFFICE","Cardiff","CARDIFF CROWN COURT","25XH","GB","cy",,"C","","C",,"","","N","","","",""
72,"COMBINED","Western","NEWPORT","478","CROWN COURT","NEIOW",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,436333,"CSA20478:90","Y","N","NEWPORT PROBATION OFFICE","NewportIOW","NEWPORT CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
19,"COMBINED","South Eastern","CANTERBURY","479","CROWN COURT","CANTE",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,99616,"CSA20479:90","Y","N","CANTERBURY PROBATION OFFICE","Canterbury","CANTERBURY CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
20,"COMBINED","South Eastern","MAIDSTONE","434","CROWN COURT","MAIDS",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","lcz80e",3,99617,"CSA20434:90","Y","N","MAIDSTONE PROBATION OFFICE","Maidstone","MAIDSTONE CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
38,"COMBINED","Western","EXETER","423","CROWN COURT","EXETE",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,203376,"CSA20423:90","Y","N","EXETER PROBATION OFFICE","Exeter","EXETER CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
