"COURT_ID","COURT_TYPE","CIRCUIT","COURT_NAME","CREST_COURT_ID","COURT_PREFIX","SHORT_NAME","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","ADDRESS_ID","CREST_IP_ADDRESS","IN_SERVICE_FLAG","OBS_IND","PROBATION_OFFICE_NAME","INTERNET_COURT_NAME","DISPLAY_NAME","COURT_CODE","COUNTRY","LANGUAGE","POLICE_FORCE_CODE","FL_REP_SORT","COURT_START_TIME","WL_REP_SORT","WL_REP_PERIOD","WL_REP_TIME","WL_FREE_TEXT","IS_PILOT","DX_REF","COUNTY_LOC_CODE","TIER","CPP_COURT"
80,"CROWN","Wales and Chester","SWANSEA","457","CROWN COURT","SWANS",06-JAN-20 16:06:27,01-APR-09 16:25:29,"XHIBIT","XHIBIT",6,514101,"xxxxxxxx:90","Y","N","
SWANSEA PROBATION OFFICE","Swansea","SWANSEA CROWN COURT","25XH","GB","cy",,"C","","C",,"","","N","","","","N"
13,"COMBINED","Western","TAUNTON","459","CROWN COURT","TAUNT",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","ecc62y",3,73998,"CSA20459:90","Y","N","TAUNTON PROBATION OFFICE","Taunton","TAUNTON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
71,"CROWN","Midlands","NORTHAMPTON","442","CROWN COURT","NTHON",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,428892,"CSA20442:90","Y","N","NORTHAMPTON PROBATION OFFICE","Northampton","NORTHAMPTON CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
75,"COMBINED","South Eastern","WINCHESTER","465","CROWN COURT","WINCH",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,449905,"CSA20465:90","Y","N","WINCHESTER PROBATION OFFICE","Winchester","WINCHESTER CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
69,"CROWN","Wales and Chester","CHESTER","415","CROWN COURT","CHEST",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,405554,"CSA20408:90","Y","N","CHESTER PROBATION OFFICE","Chester","CHESTER CROWN COURT","25XH","GB","cy",,"C","","C",,"","","N","","","",""
6,"COMBINED","North Eastern","TEESSIDE","460","CROWN COURT","TEESS",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","pck65j",3,45157,"CSA20460:90","Y","N","TEESSIDE PROBATION OFFICE","Teesside","TEESSIDE CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
26,"CROWN","Midlands","DERBY","419","CROWN COURT","DERBY",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,135175,"CSA20419:90","Y","N","DERBY PROBATION OFFICE","Derby","DERBY CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
27,"COMBINED","South Eastern","NORWICH","443","CROWN COURT","NORWI",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,143339,"CSA20443:90","Y","N","NORWICH PROBATION OFFICE","Norwich","NORWICH CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
73,"COMBINED","Western","PORTSMOUTH","447","CROWN COURT","PORTS",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","XHIBIT",3,436334,"CSA20447:90","Y","N","PORTSMOUTH PROBATION OFFICE","Portsmouth","PORTSMOUTH CROWN COURT","25XH","","",,"C","","C",,"","","N","","","",""
1,"CROWN","SOUTH EASTERN","SNARESBROOK_MOVED","000","CROWN COURT","SNARE_MOVED_20080229092454",16-JUL-18 15:40:04,01-APR-09 16:25:29,"XHIBIT","alis",4,1,"CSA20453:90","Y","Y","SNARESBROOK PROBATION OFFICE","Snaresbrook","SNARESBROOK CROWN COURT","01AA","","",,"C","","C",,"","","N","","","",""
