"COURT_SITE_ID","COURT_SITE_NAME","COURT_SITE_CODE","COURT_ID","ADDRESS_ID","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","OBS_IND","DISPLAY_NAME","CREST_COURT_ID","SHORT_NAME","SITE_GROUP","FLOATER_TEXT","LIST_NAME","TIER"
1606,"SWANSEA","A",80,514101,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","457","S",,"","",""
1607,"CARMARTHEN","B",80,514102,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","756","C",,"","",""
1608,"HAVERFORDWEST","C",80,514103,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site C","761","H",,"","",""
1609,"THE CRIMINAL COURT, GUILDHALL","D",80,514104,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site D","457","G",,"","",""
584,"CHICHESTER","A",65,377587,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","416","",,"","",""
517,"NEWCASTLE UPON TYNE","A",61,350830,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","439","NC",,"","",""
518,"MOOT HALL","B",61,350831,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","439","NMH",,"","",""
103,"CAMBRIDGE","A",17,91541,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","410","",,"","",""
249,"STOKE ON TRENT","A",32,170711,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","456","",,"","",""
250,"STAFFORD","A",33,170712,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","455","",,"","",""
319,"TRURO","A",40,209190,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","477","",,"","",""
104,"PETERBOROUGH","A",18,91542,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","473","",,"","",""
686,"WARRINGTON","A",70,421710,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","462","",,"","",""
261,"WORCESTER SHIRE HALL","A",36,183582,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","466","W",,"","",""
262,"HEREFORD","B",36,183583,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site B","762","H",,"","",""
594,"KINGSTON UPON HULL","A",66,383482,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","403","",,"","",""
1610,"SNARESBROOK","A",81,518973,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","453","",,"","",""
151,"LINCOLN","A",24,120905,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","432","",,"","",""
428,"HARROW","A",52,290310,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","468","",,"","",""
484,"BIRMINGHAM","A",58,330721,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","404","Q",,"","",""
485,"4 NEWTON STREET","D",58,330722,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site D","404","N",,"","",""
11,"LUTON","A",8,49083,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","476","",,"","",""
12,"ST ALBANS","A",9,49084,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","450","",,"","",""
420,"MIDDLESEX GUILDHALL","A",49,274046,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","464","",,"","",""
439,"INNER LONDON","A",54,303367,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","440","",,"","",""
429,"BLACKFRIARS","A",53,290311,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","428","",,"","",""
595,"GREAT GRIMSBY","A",67,383483,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","425","",,"","",""
903,"MANCHESTER","A",79,478777,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","435","",,"","",""
1113,"WARRINGTON","L",69,495096,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site L","775","WAR",,"","",""
162,"NOTTINGHAM","A",25,129260,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","444","",,"","",""
394,"CROYDON","A",47,259785,01-APR-09 15:26:01,01-APR-09 15:26:01,"XHIBIT","XHIBIT",1,"","Court Site A","418","",,"","",""
